"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
" Ожидаем ошибку 'Истёк срок действия карты' (или похожую) ","10761","Валидация: Просроченный год карты","tests","2026-09-15","passed","2026-09-15","TestPayment","Тесты оплаты","",""
"Кириллица в поле 'Владелец' должна отклоняться — сейчас пропускается.","5754","Баг: Поле 'Владелец' пропускает кириллицу","tests","2026-09-15","skipped","2026-09-15","TestPayment","Тесты оплаты","",""
"CVC из 2 цифр должен отклоняться — сейчас пропускается.","5709","Баг: Валидация CVC не проверяет длину","tests","2026-09-15","skipped","2026-09-15","TestPayment","Тесты оплаты","",""
"","631","Валидация: Слишком короткий номер карты","tests","2026-09-15","passed","2026-09-15","TestPayment","Тесты оплаты","",""
"","660","Валидация: Корректный CVC","tests","2026-09-15","passed","2026-09-15","TestPayment","Тесты оплаты","",""
"Карта DECLINED - на UI ошибка, в БД статус DECLINED.","8646","Отклоненная оплата дебетовой картой","tests","2026-09-15","failed","2026-09-15","TestPayment","Тесты оплаты","",""
"","681","Валидация: Несуществующий месяц (13)","tests","2026-09-15","passed","2026-09-15","TestPayment","Тесты оплаты","",""
"","10740","Валидация: Пустое поле номера карты","tests","2026-09-15","passed","2026-09-15","TestPayment","Тесты оплаты","",""
"Проверяет полный happy path: заполнение формы валидными данными, отправка, успешное уведомление на UI и статус APPROVED в БД.","9233","Успешная оплата дебетовой картой","tests","2026-09-15","failed","2026-09-15","TestPayment","Тесты оплаты","",""
"","5736","Валидация: Корректный формат номера карты 16-значный","tests","2026-09-15","passed","2026-09-15","TestPayment","Тесты оплаты","",""
"","657","Валидация: Корректный владелец (латиница)","tests","2026-09-15","passed","2026-09-15","TestPayment","Тесты оплаты","",""
"Нажатие на 'Купить в кредит' открывает страницу кредита.","315","Переключение на вкладку 'Купить в кредит'","tests","2026-09-15","passed","2026-09-15","TestPayment","Тесты оплаты","",""
"","633","Валидация: Корректный месяц (09)","tests","2026-09-15","passed","2026-09-15","TestPayment","Тесты оплаты","",""
"","222","Отображение цены, миль и процентов кешбэка","tests","2026-09-15","passed","2026-09-15","TestPayment","Тесты оплаты","",""
