"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","794","Валидация: Корректный владелец (латиница)","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"CVC из 2 цифр должен отклоняться — сейчас пропускается.","5942","Валидация CVC не проверяет длину","tests","2026-09-17","skipped","2026-09-17","TestPayment","Тесты оплаты","",""
"","5839","Валидация: Корректный формат номера карты 16-значный","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"Карта 4444 4444 4444 4442 должна получать отказ банка, но UI показывает 'Успешно / Операция одобрена Банком'. Оформлено как xfail","5955","Отклоненная оплата (credit)","tests","2026-09-17","skipped","2026-09-17","TestPayment","Тесты оплаты","",""
"Проверяет happy path для debit и credit: заполнение формы, отправка, успешное уведомление на UI и статус APPROVED в соответствующей таблице БД.","10132","Успешная оплата (credit)","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"Кириллица в поле 'Владелец' должна отклоняться — сейчас пропускается.","5899","Поле 'Владелец' пропускает кириллицу","tests","2026-09-17","skipped","2026-09-17","TestPayment","Тесты оплаты","",""
"Нажатие на 'Купить в кредит' открывает страницу кредита.","396","Переключение на вкладку 'Купить в кредит'","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"","11080","Валидация: Пустое поле номера карты (credit)","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"","798","Валидация: Корректный CVC","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"","11114","Валидация: Пустое поле номера карты (debit)","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
" Ожидаем ошибку 'Истёк срок действия карты' (или похожую) ","11097","Валидация: Просроченный год карты","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"Карта 4444 4444 4444 4442 должна получать отказ банка, но UI показывает 'Успешно / Операция одобрена Банком'. Оформлено как xfail","5985","Отклоненная оплата (debit)","tests","2026-09-17","skipped","2026-09-17","TestPayment","Тесты оплаты","",""
"","880","Валидация: Слишком короткий номер карты","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"","256","Отображение цены, миль и процентов кешбэка","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"","819","Валидация: Несуществующий месяц (13)","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"Проверяет happy path для debit и credit: заполнение формы, отправка, успешное уведомление на UI и статус APPROVED в соответствующей таблице БД.","4210","Успешная оплата (debit)","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"","768","Валидация: Корректный месяц (09)","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
