"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","278","test_price_info_displayed","tests","2026-09-13","passed","2026-09-13","TestPayment","test_payment","",""
"","368","test_credit_button","tests","2026-09-13","passed","2026-09-13","TestPayment","test_payment","",""
"","18059","test_invalid_month_13","tests","2026-09-13","broken","2026-09-13","TestPayment","test_payment","",""
"","18055","test_invalid_owner_cyrillic","tests","2026-09-13","skipped","2026-09-13","TestPayment","test_payment","",""
"","807","test_valid_card_number_format","tests","2026-09-13","passed","2026-09-13","TestPayment","test_payment","",""
"","18019","test_invalid_card_number_too_short","tests","2026-09-13","broken","2026-09-13","TestPayment","test_payment","",""
"","799","test_valid_month","tests","2026-09-13","passed","2026-09-13","TestPayment","test_payment","",""
"","742","test_valid_cvc","tests","2026-09-13","passed","2026-09-13","TestPayment","test_payment","",""
"","756","test_valid_owner","tests","2026-09-13","passed","2026-09-13","TestPayment","test_payment","",""
"","18041","test_empty_card_number","tests","2026-09-13","broken","2026-09-13","TestPayment","test_payment","",""
"","18332","test_successful_debit_payment","tests","2026-09-13","broken","2026-09-13","TestPayment","test_payment","",""
"","18017","test_declined_debit_payment","tests","2026-09-13","broken","2026-09-13","TestPayment","test_payment","",""
"","18067","test_invalid_cvc_too_short","tests","2026-09-13","skipped","2026-09-13","TestPayment","test_payment","",""
