"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5864","Валидация: Корректный формат номера карты 16-значный","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"Проверяет happy path для debit и credit: заполнение формы, отправка, успешное уведомление на UI и статус APPROVED в соответствующей таблице БД.","5954","Успешная оплата (debit)","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"Карта 4444 4444 4444 4442 должна получать отказ банка, но UI показывает 'Успешно / Операция одобрена Банком'. Оформлено как xfail","5947","Отклоненная оплата (credit)","tests","2026-09-17","skipped","2026-09-17","TestPayment","Тесты оплаты","",""
"","758","Валидация: Корректный месяц (09)","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"","11037","Валидация: Пустое поле номера карты (debit)","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"CVC из 2 цифр должен отклоняться — сейчас пропускается.","5888","Валидация CVC не проверяет длину","tests","2026-09-17","skipped","2026-09-17","TestPayment","Тесты оплаты","",""
"","239","Отображение цены, миль и процентов кешбэка","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
" Ожидаем ошибку 'Истёк срок действия карты' (или похожую) ","11118","Валидация: Просроченный год карты","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"","842","Валидация: Слишком короткий номер карты","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"Карта 4444 4444 4444 4442 должна получать отказ банка, но UI показывает 'Успешно / Операция одобрена Банком'. Оформлено как xfail","5956","Отклоненная оплата (debit)","tests","2026-09-17","skipped","2026-09-17","TestPayment","Тесты оплаты","",""
"","835","Валидация: Несуществующий месяц (13)","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"","769","Валидация: Корректный CVC","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"","11056","Валидация: Пустое поле номера карты (credit)","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"Нажатие на 'Купить в кредит' открывает страницу кредита.","348","Переключение на вкладку 'Купить в кредит'","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"Проверяет happy path для debit и credit: заполнение формы, отправка, успешное уведомление на UI и статус APPROVED в соответствующей таблице БД.","6986","Успешная оплата (credit)","tests","2026-09-17","broken","2026-09-17","TestPayment","Тесты оплаты","",""
"","800","Валидация: Корректный владелец (латиница)","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"Кириллица в поле 'Владелец' должна отклоняться — сейчас пропускается.","5923","Поле 'Владелец' пропускает кириллицу","tests","2026-09-17","skipped","2026-09-17","TestPayment","Тесты оплаты","",""
