"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","798","Валидация: Корректный владелец (латиница)","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"","800","Валидация: Корректный CVC","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"","807","Валидация: Слишком короткий номер карты","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"","869","Валидация: Несуществующий месяц (13)","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"","304","Отображение цены, миль и процентов кешбэка","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"Нажатие на 'Купить в кредит' открывает страницу кредита.","317","Переключение на вкладку 'Купить в кредит'","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"","11048","Валидация: Пустое поле номера карты (credit)","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"","810","Валидация: Корректный месяц (09)","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"CVC из 2 цифр должен отклоняться — сейчас пропускается.","5911","Валидация CVC не проверяет длину","tests","2026-09-17","skipped","2026-09-17","TestPayment","Тесты оплаты","",""
"Проверяет happy path для debit и credit: заполнение формы, отправка, успешное уведомление на UI и статус APPROVED в соответствующей таблице БД.","7799","Успешная оплата (debit)","tests","2026-09-17","broken","2026-09-17","TestPayment","Тесты оплаты","",""
"Кириллица в поле 'Владелец' должна отклоняться — сейчас пропускается.","5901","Поле 'Владелец' пропускает кириллицу","tests","2026-09-17","skipped","2026-09-17","TestPayment","Тесты оплаты","",""
"Проверяет happy path для debit и credit: заполнение формы, отправка, успешное уведомление на UI и статус APPROVED в соответствующей таблице БД.","6061","Успешная оплата (credit)","tests","2026-09-17","broken","2026-09-17","TestPayment","Тесты оплаты","",""
" Ожидаем ошибку 'Истёк срок действия карты' (или похожую) ","11105","Валидация: Просроченный год карты","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"Карта 4444 4444 4444 4442 должна получать отказ банка, но UI показывает 'Успешно / Операция одобрена Банком'. Оформлено как xfail","0","Отклоненная оплата (credit)","tests","2026-09-17","skipped","2026-09-17","TestPayment","Тесты оплаты","",""
"","11056","Валидация: Пустое поле номера карты (debit)","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"","5899","Валидация: Корректный формат номера карты 16-значный","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"Карта 4444 4444 4444 4442 должна получать отказ банка, но UI показывает 'Успешно / Операция одобрена Банком'. Оформлено как xfail","0","Отклоненная оплата (debit)","tests","2026-09-17","skipped","2026-09-17","TestPayment","Тесты оплаты","",""
