"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Месяц 13 не существует — должна быть ошибка.","840","test_invalid_month_13","tests","2026-09-13","passed","2026-09-13","TestPayment","test_payment","",""
"Карта DECLINED - на UI ошибка, в БД статус DECLINED.","8929","test_declined_debit_payment","tests","2026-09-13","failed","2026-09-13","TestPayment","test_payment","",""
"
        Проверяем, что карта с прошедшим годом не проходит валидацию.
        Ожидаем ошибку 'Истёк срок действия карты'
        (или похожую) под полем 'Год'.
        ","10980","test_expired_card_year","tests","2026-09-13","passed","2026-09-13","TestPayment","test_payment","",""
"CVC из 2 цифр должен отклоняться — сейчас пропускается.","5896","test_invalid_cvc_too_short","tests","2026-09-13","skipped","2026-09-13","TestPayment","test_payment","",""
"Корректный месяц (09) проходит валидацию.","761","test_valid_month","tests","2026-09-13","passed","2026-09-13","TestPayment","test_payment","",""
"Нажатие на 'Купить в кредит' открывает страницу кредита.","335","test_credit_button","tests","2026-09-13","passed","2026-09-13","TestPayment","test_payment","",""
"Корректный 16-значный номер не вызывает ошибок валидации.","754","test_valid_card_number_format","tests","2026-09-13","passed","2026-09-13","TestPayment","test_payment","",""
"На главной странице видны цена, мили и процент кешбэка.","249","test_price_info_displayed","tests","2026-09-13","passed","2026-09-13","TestPayment","test_payment","",""
"Корректный CVC из 3 цифр проходит валидацию.","736","test_valid_cvc","tests","2026-09-13","passed","2026-09-13","TestPayment","test_payment","",""
"Кириллица в поле 'Владелец' должна отклоняться — сейчас пропускается.","5936","test_invalid_owner_cyrillic","tests","2026-09-13","skipped","2026-09-13","TestPayment","test_payment","",""
"Латиница в поле 'Владелец' сохраняется без ошибок.","754","test_valid_owner","tests","2026-09-13","passed","2026-09-13","TestPayment","test_payment","",""
"Слишком короткий номер подсвечивается ошибкой 'Неверный формат'.","828","test_invalid_card_number_too_short","tests","2026-09-13","passed","2026-09-13","TestPayment","test_payment","",""
"
        Проверяем полный happy path:
        1. Открываем страницу и жмём ""Купить"".
        2. Заполняем форму валидными данными с APPROVED-картой.
        3. Отправляем форму.
        4. Ждём уведомление об успехе на UI.
        5. Проверяем, что в БД последний платёж имеет статус APPROVED.
        ","9082","test_successful_debit_payment","tests","2026-09-13","failed","2026-09-13","TestPayment","test_payment","",""
"Пустое поле номера карты — форма не отправляется, есть ошибка.","10927","test_empty_card_number","tests","2026-09-13","passed","2026-09-13","TestPayment","test_payment","",""
