"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","519","Валидация: Корректный CVC","tests","2026-09-13","passed","2026-09-13","TestPayment","test_payment","",""
"","569","Валидация: Несуществующий месяц (13)","tests","2026-09-13","passed","2026-09-13","TestPayment","test_payment","",""
"Нажатие на 'Купить в кредит' открывает страницу кредита.","262","Переключение на вкладку 'Купить в кредит'","tests","2026-09-13","passed","2026-09-13","TestPayment","test_payment","",""
"","10654","Валидация: Пустое поле номера карты","tests","2026-09-13","passed","2026-09-13","TestPayment","test_payment","",""
"","593","Валидация: Корректный владелец (латиница)","tests","2026-09-13","passed","2026-09-13","TestPayment","test_payment","",""
"","656","Валидация: Слишком короткий номер карты","tests","2026-09-13","passed","2026-09-13","TestPayment","test_payment","",""
"Кириллица в поле 'Владелец' должна отклоняться — сейчас пропускается.","6007","Баг: Поле 'Владелец' пропускает кириллицу","tests","2026-09-13","skipped","2026-09-13","TestPayment","test_payment","",""
" Ожидаем ошибку 'Истёк срок действия карты' (или похожую) ","10711","Валидация: Просроченный год карты","tests","2026-09-13","passed","2026-09-13","TestPayment","test_payment","",""
"Проверяет полный happy path: заполнение формы валидными данными, отправка, успешное уведомление на UI и статус APPROVED в БД.","10138","Успешная оплата дебетовой картой","tests","2026-09-13","failed","2026-09-13","TestPayment","test_payment","",""
"","518","Валидация: Корректный месяц (09)","tests","2026-09-13","passed","2026-09-13","TestPayment","test_payment","",""
"","5574","Валидация: Корректный формат номера карты 16-значный","tests","2026-09-13","passed","2026-09-13","TestPayment","test_payment","",""
"Карта DECLINED - на UI ошибка, в БД статус DECLINED.","8788","Отклоненная оплата дебетовой картой","tests","2026-09-13","failed","2026-09-13","TestPayment","test_payment","",""
"CVC из 2 цифр должен отклоняться — сейчас пропускается.","5816","Баг: Валидация CVC не проверяет длину","tests","2026-09-13","skipped","2026-09-13","TestPayment","test_payment","",""
"","199","Отображение цены, миль и процентов кешбэка","tests","2026-09-13","passed","2026-09-13","TestPayment","test_payment","",""
