"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","784","Валидация: Корректный владелец (латиница)","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"","854","Валидация: Слишком короткий номер карты","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"","11055","Валидация: Пустое поле номера карты","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"Кириллица в поле 'Владелец' должна отклоняться — сейчас пропускается.","5939","Поле 'Владелец' пропускает кириллицу","tests","2026-09-17","skipped","2026-09-17","TestPayment","Тесты оплаты","",""
"","905","Валидация: Несуществующий месяц (13)","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
" Ожидаем ошибку 'Истёк срок действия карты' (или похожую) ","11131","Валидация: Просроченный год карты","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"CVC из 2 цифр должен отклоняться — сейчас пропускается.","5886","Валидация CVC не проверяет длину","tests","2026-09-17","skipped","2026-09-17","TestPayment","Тесты оплаты","",""
"Проверяет полный happy path: заполнение формы валидными данными, отправка, успешное уведомление на UI и статус APPROVED в БД.","5214","Успешная оплата дебетовой картой","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"","300","Отображение цены, миль и процентов кешбэка","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"","5907","Валидация: Корректный формат номера карты 16-значный","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"","844","Валидация: Корректный месяц (09)","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"Нажатие на 'Купить в кредит' открывает страницу кредита.","373","Переключение на вкладку 'Купить в кредит'","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"","777","Валидация: Корректный CVC","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"приложение показывает success для declined-картыКарта 4444 4444 4444 4442 должна получать отказ банка, но UI показывает 'Успешно / Операция одобрена Банком'. Оформлено как xfail","5983","Отклоненная оплата дебетовой картой","tests","2026-09-17","skipped","2026-09-17","TestPayment","Тесты оплаты","",""
