"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
" Ожидаем ошибку 'Истёк срок действия карты' (или похожую) ","11234","Валидация: Просроченный год карты","tests","2026-09-15","passed","2026-09-15","TestPayment","Тесты оплаты","",""
"","281","Отображение цены, миль и процентов кешбэка","tests","2026-09-15","passed","2026-09-15","TestPayment","Тесты оплаты","",""
"","964","Валидация: Несуществующий месяц (13)","tests","2026-09-15","passed","2026-09-15","TestPayment","Тесты оплаты","",""
"","839","Валидация: Корректный CVC","tests","2026-09-15","passed","2026-09-15","TestPayment","Тесты оплаты","",""
"CVC из 2 цифр должен отклоняться — сейчас пропускается.","6025","Баг: Валидация CVC не проверяет длину","tests","2026-09-15","skipped","2026-09-15","TestPayment","Тесты оплаты","",""
"","11164","Валидация: Пустое поле номера карты","tests","2026-09-15","passed","2026-09-15","TestPayment","Тесты оплаты","",""
"Проверяет полный happy path: заполнение формы валидными данными, отправка, успешное уведомление на UI и статус APPROVED в БД.","9613","Успешная оплата дебетовой картой","tests","2026-09-15","passed","2026-09-15","TestPayment","Тесты оплаты","",""
"","6018","Валидация: Корректный формат номера карты 16-значный","tests","2026-09-15","passed","2026-09-15","TestPayment","Тесты оплаты","",""
"","816","Валидация: Корректный владелец (латиница)","tests","2026-09-15","passed","2026-09-15","TestPayment","Тесты оплаты","",""
"","913","Валидация: Слишком короткий номер карты","tests","2026-09-15","passed","2026-09-15","TestPayment","Тесты оплаты","",""
"приложение показывает success для declined-картыКарта 4444 4444 4444 4442 должна получать отказ банка, но UI показывает 'Успешно / Операция одобрена Банком'. Оформлено как xfail","6071","Отклоненная оплата дебетовой картой","tests","2026-09-15","skipped","2026-09-15","TestPayment","Тесты оплаты","",""
"Кириллица в поле 'Владелец' должна отклоняться — сейчас пропускается.","6018","Баг: Поле 'Владелец' пропускает кириллицу","tests","2026-09-15","skipped","2026-09-15","TestPayment","Тесты оплаты","",""
"Нажатие на 'Купить в кредит' открывает страницу кредита.","405","Переключение на вкладку 'Купить в кредит'","tests","2026-09-15","passed","2026-09-15","TestPayment","Тесты оплаты","",""
"","901","Валидация: Корректный месяц (09)","tests","2026-09-15","passed","2026-09-15","TestPayment","Тесты оплаты","",""
